route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
820,6,BÐZ-1,BOÐAZDAN GELÝÞ,,4,,,
2061,6,KÇS-ÝST,KÜÇÜKSU - ÝSTÝNYE,,4,,,
802,6,KRK-KDK,KARAKÖY-KADIKÖY,,4,,,
826,6,KDK-EMN,KADIKÖY-EMÝNÖNÜ,,4,,,
2054,6,EMN-ADA,EMÝNÖNÜ - ADALAR,,4,,,
2068,6,EMGN-ÇNGK,EMÝRGAN-ÇENGELKÖY,,4,,,
7502,6,BÐZ-25,BOÐAZA GÝDÝÞ,,4,http://www.sehirhatlari.com.tr/tr/seferler/,,
7491,6,KDK-KRK-EMN,KADIKÖY-KARAKÖY-EMÝNÖNÜ,,4,http://www.sehirhatlari.istanbul/tr/seferler/,,
7504,6,SRY-EMN,SARIYER - EMÝNÖNÜ,,4,http://www.sehirhatlari.com.tr/tr/seferler/,,
813,6,BÐZ-15,BOÐAZA GÝDÝÞ,,4,,,
7492,6,KRK-EMN-KDK,KARAKÖY-EMÝNÖNÜ-KADIKÖY,,4,http://www.sehirhatlari.com.tr/tr/seferler/,,
810,6,BÐZ-9,BOÐAZDAN GELÝÞ,,4,,,
825,6,BÐZ-10,BOÐAZDAN GELÝÞ,,4,,,
822,6,BÐZ-5,BOÐAZDAN GELÝÞ,,4,,,
828,6,BÐZ-4,BOÐAZDAN GELÝÞ,,4,,,
2060,6,SRY-AKV,SARIYER-ANADOLU KAVAÐI,,4,,,
28188,4,Marmaray2,HALKALI - BAHÇEÞEHÝR,,1,https://marmaray.gov.tr/,,
26727,4,Marmaray1,SÖÐÜTLÜÇEÞME - ZEYTÝNBURNU,,1,http://www.marmaray.gov.tr,,
26615,4,Marmaray,GEBZE-HALKALI,,1,http://www.marmaray.gov.tr,,
28189,11,M7,YILDIZ - MAHMUTBEY,,1,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=M7,,
28190,11,M9,BAHARÝYE - OLÝMPÝYAT,,1,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=M9,,
28193,11,M8,BOSTANCI - DUDULLU,,1,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=M8,,
1293,11,M1B,YENÝKAPI - KÝRAZLI,,1,http://www.istanbul-ulasim.com.tr/rayl%C4%B1-sistemler/m1-aksaray-havaliman%C4%B1-kirazl%C4%B1.aspx,,
1297,11,M3,KÝRAZLI - OLÝMPÝYAT - BAÞAKÞEHÝR,,1,http://www.istanbul-ulasim.com.tr/rayl%C4%B1-sistemler/m3-ba%C5%9Fak%C5%9Fehir-olimpiyatk%C3%B6y.aspx,,
7237,11,F3,SEYRANTEPE - VADÝSTANBUL,,7,https://www.metro.istanbul/raylý-sistemler/,,
